TDK/C1005X5R0J104K050BA	C94	44.1198	32.0103	90
TDK/C1005X5R0J104K050BA	C97	49.3204	30.8102	0
TDK/C1005X5R0J104K050BA	C98	49.3197	29.21	0
TDK/C1005X5R0J104K050BA	C99	49.3204	27.6098	0
TDK/C1005X5R0J104K050BA	C107	58.42	31.1658	0
TDK/C1005X5R0J104K050BA	C108	58.42	29.5656	0
TDK/C1005X5R0J104K050BA	C109	58.42	27.1653	0
TDK/C1005X5R0J104K050BA	C110	58.42	25.5651	0
TDK/C1005X5R0J104K050BA	C111	58.42	23.1648	0
TDK/C1005X5R0J104K050BA	C112	58.42	20.7645	0
TDK/C1005X5R0J104K050BA	C113	58.42	19.1643	0
TDK/C1005X5R0J104K050BA	C114	68.58	31.1658	180
TDK/C1005X5R0J104K050BA	C115	68.58	29.5656	180
TDK/C1005X5R0J104K050BA	C116	68.58	27.9654	180
TDK/C1005X5R0J104K050BA	C117	68.58	25.5651	180
TDK/C1005X5R0J104K050BA	C119	68.58	24.365	180
TDK/C1005X5R0J104K050BA	C120	68.58	20.7645	180
TDK/C1005X5R0J104K050BA	C121	68.58	19.1643	180
TDK/C1005X5R0J104K050BA	C124	63.5	21.9646	0
TDK/C1005X5R0J104K050BA	C127	25.4	41.91	90
TDK/C1005X5R0J104K050BA	C128	29.21	41.91	-90
TDK/C1005X5R0J104K050BA	C129	30.48	41.91	90
TDK/C1005X5R0J104K050BA	C130	34.29	41.91	90
TDK/C1005X5R0J104K050BA	C145	59.055	36.195	90
TDK/C1005X5R0J104K050BA	C147	65.405	36.195	-90
TDK/C1005X5R0J104K050BA	C149	67.945	43.815	-90
TDK/C1005X5R0J104K050BA	C150	67.945	40.64	-90
MURATA/GRM155R71H471KA01D	C136	26.67	29.845	0
STACKPOLE/RMCF0402FT280K	R11	8.255	18.415	180
YAGEO/RC0402JR-07820RL	R12	3.81	16.51	0
STACKPOLE/RMCF0402FT100K	R1	23.1775	21.9075	90
STACKPOLE/RMCF0402FT100K	R56	57.4675	46.99	-90
STACKPOLE/RMCF0402FT100K	R65	66.9925	46.99	-90
STACKPOLE/RMCF0402FT100K	R66	67.945	46.99	-90
STACKPOLE/RMCF0402FT100K	R67	68.8975	46.99	-90
STACKPOLE/RMCF0402FT100K	R68	69.85	46.99	-90
STACKPOLE/RMCF0402FT100K	R76	13.0175	46.0375	-90
STACKPOLE/RMCF0402FT100K	R77	14.2875	46.0375	90
STACKPOLE/RMCF0402FT100K	R78	9.525	46.0375	-90
STACKPOLE/RMCF0402FT100K	R79	10.795	46.0375	90
YAGEO2/RC0402JR-070RL	R137	12.065	29.21	0
YAGEO2/RC0402JR-070RL	R142	26.035	25.7175	-90
YAGEO2/RC0402JR-070RL	R159	23.495	38.4175	180
YAGEO2/RC0402JR-070RL	R160	38.4175	41.91	-90
YAGEO2/RC0402JR-070RL	R161	37.1475	41.91	-90
YAGEO2/RC0402JR-070RL	R162	30.48	46.99	90
YAGEO2/RC0402JR-070RL	R19	41.5925	19.685	90
YAGEO2/RC0402JR-070RL	R20	42.545	19.685	-90
