Description	ID	Manufacturer	"Manufacturer Part Number"	Supplier	"Supplier Part Number"	"Reference Designators"	"Line Quantity"	"Order Quantity"	"Unit Price"	"Order Price"	"Legacy ID"	"Datasheet 1"	"Datasheet 2"	"Datasheet 3"	"Datasheet 4"	"Datasheet 5"	"Datasheet 6"	"Datasheet 7"	"Datasheet 8"	"Datasheet 9"	"Datasheet 10"	"Datasheet 11"	"Datasheet 12"	"Datasheet 13"	"Datasheet 14"	"Datasheet 15"	"Datasheet 16"	"Datasheet 17"
"RES SMD 100 OHM 5% 1/10W 0402"	PANASONIC/ERJ-2GEJ101X	Panasonic	ERJ-2GEJ101X	Newark	97W7132	R75	1	100	0.002	0.2		http://datasheet.octopart.com/ERJ-2GEJ101X-Panasonic-datasheet-13266872.pdf	http://datasheet.octopart.com/ERJ-2GEJ101X-Panasonic-datasheet-5314550.pdf	http://datasheet.octopart.com/ERJ-2GEJ101X-Panasonic---ECG-datasheet-15994758.pdf	http://datasheet.octopart.com/ERJ-2GEJ101X-Panasonic-datasheet-10554283.pdf	http://datasheet.octopart.com/ERJ-2GEJ101X-Panasonic-datasheet-11480398.pdf	http://datasheet.octopart.com/ERJ-2GEJ101X-Panasonic-datasheet-5313456.pdf	http://datasheet.octopart.com/ERJ2GEJ101X-Panasonic-datasheet-27908757.pdf	http://datasheet.octopart.com/Thick-Film-Chip-Resistors-Panasonic-datasheet-family-105.pdf	http://datasheet.octopart.com/ERJ-2GEJ101X-Panasonic-datasheet-118655.pdf	http://datasheet.octopart.com/ERJ-2GEJ101X-Panasonic-datasheet-13040722.pdf	http://datasheet.octopart.com/ERJ-2GEJ101X-Panasonic-datasheet-13327251.pdf						
"RES SMD 33 OHM 5% 1/10W 0402"	PANASONIC/ERJ-2GEJ330X	Panasonic	ERJ-2GEJ330X	Newark	97W7163	R167,R18,R21,R28,R45,R46,R47,R48	8	210	0.002	0.42		http://datasheet.octopart.com/ERJ-2GEJ330X-Panasonic-datasheet-13266872.pdf	http://datasheet.octopart.com/ERJ-2GEJ330X-Panasonic-datasheet-5314550.pdf	http://datasheet.octopart.com/ERJ-2GEJ330X-Panasonic-datasheet-13040722.pdf	http://datasheet.octopart.com/ERJ-2GEJ330X-Panasonic-datasheet-13327251.pdf	http://datasheet.octopart.com/ERJ-2GEJ330X-Panasonic---ECG-datasheet-15994758.pdf	http://datasheet.octopart.com/ERJ-2GEJ330X-Panasonic-datasheet-118598.pdf	http://datasheet.octopart.com/ERJ-2GEJ330X-Panasonic-datasheet-10554283.pdf	http://datasheet.octopart.com/ERJ-2GEJ330X-Panasonic-datasheet-5313456.pdf	http://datasheet.octopart.com/ERJ2GEJ330X-Panasonic-datasheet-27908757.pdf	http://datasheet.octopart.com/Thick-Film-Chip-Resistors-Panasonic-datasheet-family-105.pdf							
"RES SMD 470 OHM 5% 1/10W 0402"	PANASONIC/ERJ-2GEJ471X	Panasonic	ERJ-2GEJ471X	Newark	97W7170	R130,R132	2	100	0.002	0.2		http://datasheet.octopart.com/ERJ-2GEJ471X-Panasonic-datasheet-13266872.pdf	http://datasheet.octopart.com/ERJ-2GEJ471X-Panasonic-datasheet-5314550.pdf	http://datasheet.octopart.com/ERJ-2GEJ471X-Panasonic---ECG-datasheet-15994758.pdf	http://datasheet.octopart.com/ERJ-2GEJ471X-Panasonic-datasheet-10554283.pdf	http://datasheet.octopart.com/ERJ-2GEJ471X-Panasonic-datasheet-5313456.pdf	http://datasheet.octopart.com/ERJ-2GEJ471X-Panasonic-datasheet-13040722.pdf	http://datasheet.octopart.com/ERJ-2GEJ471X-Panasonic-datasheet-13327251.pdf	http://datasheet.octopart.com/Thick-Film-Chip-Resistors-Panasonic-datasheet-family-105.pdf	http://datasheet.octopart.com/ERJ-2GEJ471X-Panasonic-datasheet-118655.pdf								
"RES SMD 470K OHM 5% 1/10W 0402"	PANASONIC/ERJ-2GEJ474X	Panasonic	ERJ-2GEJ474X	Newark	65T8289	R10	1	100	0.002	0.2		http://datasheet.octopart.com/ERJ3EKF1001V-Panasonic-datasheet-5313456.pdf	http://datasheet.octopart.com/ERJ-2GEJ104X-Panasonic-datasheet-11480398.pdf	http://datasheet.octopart.com/ERJ-2GEJ104X-Panasonic-datasheet-13040722.pdf	http://datasheet.octopart.com/ERJ-2GEJ104X-Panasonic-datasheet-13266872.pdf	http://datasheet.octopart.com/ERJ-2GEJ104X-Panasonic-datasheet-13327251.pdf	http://datasheet.octopart.com/ERJ-2GEJ104X-Panasonic-datasheet-10554283.pdf	http://datasheet.octopart.com/ERJ-2GEJ104X-Panasonic-datasheet-118655.pdf	http://datasheet.octopart.com/ERJ-6GEYJ122V-Panasonic---ECG-datasheet-15994758.pdf									
"RES SMD 100 OHM 1% 1/10W 0402"	PANASONIC/ERJ-2RKF1000X	Panasonic	ERJ-2RKF1000X	Arrow	ERJ-2RKF1000X**MULT1	R127,R128,R131,R133,R139,R125,R126,R129,R134,R138	10	300	0.0043	1.29		http://datasheet.octopart.com/ERJ-2RKF1000X-Panasonic-datasheet-13266541.pdf	http://datasheet.octopart.com/ERJ2RKF1000X-Panasonic-datasheet-5313456.pdf	http://datasheet.octopart.com/ERJ-2RKF1000X-Panasonic-datasheet-10025800.pdf	http://datasheet.octopart.com/ERJ-2RKF1000X-Panasonic-datasheet-8853621.pdf	http://datasheet.octopart.com/ERJ-2RKF1000X-Panasonic-datasheet-7538305.pdf	http://datasheet.octopart.com/Precision-Thick-Film-Chip-Resistors-Panasonic-datasheet-family-106.pdf	http://datasheet.octopart.com/ERJ-2RKF1000X-Panasonic-datasheet-118621.pdf	http://datasheet.octopart.com/ERJ-2RKF1000X-Panasonic-datasheet-13293574.pdf	http://datasheet.octopart.com/ERJ-2RKF1000X-Panasonic-datasheet-13041511.pdf	http://datasheet.octopart.com/ERJ-2RKF1000X-Panasonic-datasheet-13564008.pdf							
"RES SMD 10K OHM 5% 1/16W 0402"	ROHM/MCR01MZPJ103	Rohm	MCR01MZPJ103	Digi-Key	RHM10KJCT-ND	R14,R148,R158,R52,R53,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R115,R116,R117,R118,R135,R145,R150,R151,R152,R153,R154,R155,R156,R157,R54,R96,R98	34	860	0.0078	4.792800000000001		http://datasheet.octopart.com/MCR01MZPJ102-Rohm-datasheet-605032.pdf	http://datasheet.octopart.com/MCR01MZPJ102-Rohm-datasheet-118741.pdf	http://datasheet.octopart.com/MCR01MZPJ102-Rohm-datasheet-8324351.pdf	http://datasheet.octopart.com/MCR01MZPJ102-Rohm-datasheet-12510677.pdf													
"CONN HEADER 20POS 1.27MM DUL SMD"	SAMTEC/FTR-110-03-G-D-06	Samtec	FTR-110-03-G-D-06	"Avnet Express"	FTR-110-03-G-D-06	J1,P2	2	46	2.94	135.24		http://datasheet.octopart.com/FTR-110-03-G-D-06-Samtec-datasheet-10635623.pdf																
"RES SMD 100K OHM 1% 1/16W 0402"	STACKPOLE/RMCF0402FT100K	"Stackpole Electronics"	RMCF0402FT100K	Digi-Key	RMCF0402FT100KDKR-ND	R1,R165,R56,R65,R66,R67,R68,R76,R77,R78,R79,R80,R82,R83,R84,R85,R86,R87,R88,R89,R94,R95,R55,R57,R59,R69,R81,R90,R91,R92,R93,R58,R60,R61,R62,R63,R64,R70	38	1000	0.00576	6.78		http://datasheet.octopart.com/RMCF0603FT1R50-Stackpole-Electronics-datasheet-10788263.pdf	http://datasheet.octopart.com/RMCF1206JT1M00-Stackpole-Electronics-datasheet-8359789.pdf	http://datasheet.octopart.com/RMCF1206JT1M00-Stackpole-Electronics-datasheet-8324226.pdf	http://datasheet.octopart.com/RMCF1206JT1M00-Stackpole-Electronics-datasheet-5313682.pdf	http://datasheet.octopart.com/RMCF1206JT1M00-Stackpole-Electronics-datasheet-8088878.pdf	http://datasheet.octopart.com/RMCF1206JT1M00-Stackpole-Electronics-datasheet-11547379.pdf	http://datasheet.octopart.com/RMCF0402FT100K-Stackpole-Electronics-datasheet-12534581.pdf	http://datasheet.octopart.com/RMCF0402FT100K-Stackpole-Electronics-datasheet-13537759.pdf									
"RES SMD 10 OHM 1% 1/16W 0402"	STACKPOLE/RMCF0402FT10R0	"Stackpole Electronics"	RMCF0402FT10R0	Digi-Key	RMCF0402FT10R0CT-ND	R143,R124	2	200	0.0105	2.1		http://datasheet.octopart.com/RMCF0603FT1R50-Stackpole-Electronics-datasheet-10788263.pdf	http://datasheet.octopart.com/RMCF0402FT100K-Stackpole-Electronics-datasheet-12534581.pdf	http://datasheet.octopart.com/RMCF0402FT1M00-Stackpole-Electronics-datasheet-12510902.pdf														
"RES SMD 1M OHM 1% 1/16W 0402"	STACKPOLE/RMCF0402FT1M00	"Stackpole Electronics"	RMCF0402FT1M00	Arrow	RMCF0402FT1M00**MULT1	R17,R141	2	200	0.0077	1.54		http://datasheet.octopart.com/RMCF0603FT1R50-Stackpole-Electronics-datasheet-10788263.pdf	http://datasheet.octopart.com/RMCF0402FT100K-Stackpole-Electronics-datasheet-12534581.pdf	http://datasheet.octopart.com/RMCF0402FT1M00-Stackpole-Electronics-datasheet-12510902.pdf														
"RES SMD 280K OHM 1% 1/16W 0402"	STACKPOLE/RMCF0402FT280K	"Stackpole Electronics"	RMCF0402FT280K	Arrow	RMCF0402FT280K**MULT1	R11	1	100	0.0077	0.77		http://datasheet.octopart.com/RMCF0603FT1R50-Stackpole-Electronics-datasheet-10788263.pdf	http://datasheet.octopart.com/RMCF0402FT100K-Stackpole-Electronics-datasheet-12534581.pdf															
"RES SMD 4.75K OHM 1% 1/16W 0402"	STACKPOLE/RMCF0402FT4K75	"Stackpole Electronics"	RMCF0402FT4K75	Digi-Key	RMCF0402FT4K75DKR-ND	R23,R24,R25,R163,R164,R26	6	220	0.0105	2.31		http://datasheet.octopart.com/RMCF0603FT1R50-Stackpole-Electronics-datasheet-10788263.pdf	http://datasheet.octopart.com/RMCF1206JT1M00-Stackpole-Electronics-datasheet-11546843.pdf	http://datasheet.octopart.com/RMCF0402FT100K-Stackpole-Electronics-datasheet-12534581.pdf														
"FERRITE 800MA 150 OHM 0805 SMD"	STEWARD/LI0805H151R-10	Steward	LI0805H151R-10	Mouser	875-LI0805H151R-10	FB1,FB2,FB3,FB4,FB7,FB5	6	250	0.027	6.75		http://datasheet.octopart.com/LI0805H151R-10-Steward-datasheet-14357300.pdf	http://datasheet.octopart.com/LI0805H151R-10-Laird-datasheet-9566673.pdf	http://datasheet.octopart.com/LI0805H151R-10-Steward-datasheet-53392.pdf														
"CONN HEADER FMAL 46PS.1"" DL GOLD"	SULLINS/PPPC232LFBN-RC	Sullins	PPPC232LFBN-RC	Digi-Key	S7126-ND	P8,P9	2	44	2.268	99.79199999999999		http://datasheet.octopart.com/PPPC232LFBN-RC-Sullins-datasheet-12511165.pdf	http://datasheet.octopart.com/PPPC232LFBN-RC-Sullins-datasheet-12463.pdf															
